Time,CHDMC006,CHSWP003,CHVCT000,OLD_MID,ROLD024,ROLD059,RSAC064,RSAC075,RSAC081,RSAC092,RSAN007,RSAN018,RSAN032,RSAN037,RSAN058,RSAN072,RSMKL008,SLCBN002,SLDUT007,SLMZU011,SLMZU025,SLSUS012,SLTRM004
9/13/1991,609.86553,604.1176294,402.606287,709.4276581,831.9652309,585.372249,20698.89097,14786.75582,10473.41705,3260.1632,6612.923192,2177.059788,513.8598363,425.0797005,197.6937636,356.9947653,189.7940807,17890.75346,1566.283707,16780.77959,13286.75566,16856.60537,1383.221032
9/14/1991,618.4625505,606.9669838,403.1988948,681.9166463,833.5418371,590.177042,21057.65942,14859.47741,10421.14351,3223.066711,6688.547602,2213.941518,519.6317434,437.146383,198.9865219,441.8084653,196.1543191,17933.07998,1584.11233,16914.11869,13441.11887,16912.8535,1371.697308
9/15/1991,617.3189863,609.5374565,402.1916501,690.1407439,836.8855782,600.7752037,21179.85725,14674.66991,10195.77816,3026.938766,6568.661397,2191.240251,512.1791709,441.8151894,200.7487741,564.1334136,196.3651088,17918.28534,1589.375483,16983.6855,13487.20504,16910.48489,1309.320017
9/16/1991,616.8914038,608.4966253,399.7695233,735.3897127,840.404609,614.7339408,20752.99762,14362.08664,9871.324753,2780.369575,6367.582001,2120.327326,495.8807265,439.3644228,203.1090646,674.6275403,194.0897954,17888.78914,1583.657415,17002.94584,13414.91721,16931.92108,1239.620345
9/17/1991,608.8174063,599.3497105,401.6762851,778.7280547,842.7865391,629.8057569,19839.92395,14245.09435,9719.143865,2666.219479,6241.642067,2083.308389,486.9213332,439.0584714,205.9021195,754.3363514,193.3419738,17979.67841,1582.365603,17036.18986,13357.72221,16992.01457,1224.216706
9/18/1991,603.3027445,593.4501095,404.7955357,793.371905,843.5033887,643.4084409,19334.18715,14075.6466,9589.39596,2597.623084,6090.256292,2037.55444,475.9850197,440.1771377,209.2065756,795.5076173,195.5762107,17990.97011,1579.097813,17063.07768,13328.89983,17034.74906,1226.601112
9/19/1991,604.0534725,599.8947487,408.4287802,788.0022602,847.3000991,650.257417,19822.60644,13884.13353,9450.884084,2585.6553,5961.979144,2005.389706,474.0948304,438.5876544,213.4195371,815.6221116,199.6785757,18019.88401,1577.953314,17110.40658,13316.15452,17066.9021,1217.025169
9/20/1991,603.3143571,597.5156136,413.0969709,796.6227601,849.2806466,649.9451593,20114.63465,13850.03319,9476.836995,2651.496769,5869.211383,1967.212605,477.209596,434.7190015,218.6859439,819.8141441,203.9684011,18061.6296,1572.582957,17178.49294,13318.37707,17139.05366,1223.84702
9/21/1991,600.0630747,597.3775679,415.7336102,801.7357737,845.6064879,643.2004369,20096.86397,13940.54506,9564.279622,2790.344864,5841.370221,1948.060749,476.8770415,428.2468834,226.1825924,816.4088968,207.1213617,18154.19017,1565.472786,17254.41943,13342.00341,17249.26125,1245.541749
9/22/1991,606.3136215,596.3765901,418.6116311,800.1131884,843.1007468,633.9044075,19227.30185,13368.41965,9032.231003,2600.363291,5394.392776,1767.87974,440.9076066,413.08299,240.7116168,805.6926428,208.1043868,18041.14217,1533.635821,17228.08403,13141.45152,17210.92897,1173.30021
